,AQI指数,PM2.5,PM10,O3,no2,so2,co,T,Po,U,Ff,VV,RRR
AQI指数,1.0,0.5942873691737897,0.5366973678807114,0.5360250463302433,0.23335907698476352,0.2187692618357218,0.2578825325275303,0.014706582249574761,-0.04519327716214318,-0.4088691991325943,0.18824774479544434,-0.14184671513276065,-0.1180398030688914
PM2.5,0.5942873691737897,1.0,0.6732845882446817,0.34399404668618777,0.39218336877364923,0.34200475481782405,0.47579132167932614,-0.20137745414673391,0.10347586875237634,-0.27411441994635044,0.09542848568913834,-0.3132230331981767,-0.13317041371766983
PM10,0.5366973678807114,0.6732845882446817,1.0,0.4652722706240277,0.6529484171253731,0.5916629830935167,0.6164486530813585,-0.11340295017876877,0.03795542649885453,-0.22974587746862588,0.0930628340323341,-0.2187960609385665,-0.12162094363063168
O3,0.5360250463302433,0.34399404668618777,0.4652722706240277,1.0,0.15022693686206898,0.1699147750009851,0.08647545344482453,0.21098443874367268,-0.18981239391004806,-0.37081662340310634,0.17883868705333916,-0.006993014253570418,-0.06746990651604771
no2,0.23335907698476352,0.39218336877364923,0.6529484171253731,0.15022693686206898,1.0,0.5654737610817221,0.5709530925134136,-0.22406971362916822,0.21458195978036368,0.14073382213968158,-0.15427133569902524,-0.23846245859840223,-0.01877603327809688
so2,0.2187692618357218,0.34200475481782405,0.5916629830935167,0.1699147750009851,0.5654737610817221,1.0,0.6139759903665202,-0.08193712980615339,0.007919421509437386,0.0005071399897886385,0.028998933070790014,-0.13983716336817414,-0.05998388305328963
co,0.2578825325275303,0.47579132167932614,0.6164486530813585,0.08647545344482453,0.5709530925134136,0.6139759903665202,1.0,-0.20292328396031542,0.07586917012730708,-0.02227724234847622,0.05190704506725513,-0.19835290864592467,-0.0662658914942884
T,0.014706582249574761,-0.20137745414673391,-0.11340295017876877,0.21098443874367268,-0.22406971362916822,-0.08193712980615339,-0.20292328396031542,1.0,-0.6777593125179402,-0.21881833279251334,0.14577048454034364,0.31153347387574015,0.0003984748006693083
Po,-0.04519327716214318,0.10347586875237634,0.03795542649885453,-0.18981239391004806,0.21458195978036368,0.007919421509437386,0.07586917012730708,-0.6777593125179402,1.0,0.2619273036790571,-0.21076243760760552,-0.27987109813396793,-0.05186420701765375
U,-0.4088691991325943,-0.27411441994635044,-0.22974587746862588,-0.37081662340310634,0.14073382213968158,0.0005071399897886385,-0.02227724234847622,-0.21881833279251334,0.2619273036790571,1.0,-0.506410883753365,-0.4474494811989658,0.3285483635386822
Ff,0.18824774479544434,0.09542848568913834,0.0930628340323341,0.17883868705333916,-0.15427133569902524,0.028998933070790014,0.05190704506725513,0.14577048454034364,-0.21076243760760552,-0.506410883753365,1.0,0.23636656015638358,-0.14914314978995322
VV,-0.14184671513276065,-0.3132230331981767,-0.2187960609385665,-0.006993014253570418,-0.23846245859840223,-0.13983716336817414,-0.19835290864592467,0.31153347387574015,-0.27987109813396793,-0.4474494811989658,0.23636656015638358,1.0,-0.194732685515648
RRR,-0.1180398030688914,-0.13317041371766983,-0.12162094363063168,-0.06746990651604771,-0.01877603327809688,-0.05998388305328963,-0.0662658914942884,0.0003984748006693083,-0.05186420701765375,0.3285483635386822,-0.14914314978995322,-0.194732685515648,1.0
