AQIÖ¸Êý,PM2.5,PM10,O3,no2,so2,co,T,Po,U,Ff,VV,RRR,Season
,0.641280749,0.550580135,0.533235206,0.184400507,0.152614751,0.267341917,0.38593266,-0.198428537,-0.238119879,0.130410146,-0.250007583,-0.105648304,1
,0.616134293,0.494632772,0.628313312,0.152185051,0.032103838,0.119104542,0.051168501,0.126008535,-0.492307882,0.176891096,-0.068164543,-0.130150796,2
,0.437197343,0.388923271,0.563447967,0.331563281,0.146130829,0.118504604,0.014715004,0.058261174,-0.158774988,-0.039616351,-0.213327803,-0.054762155,3
,0.62362539,0.623926181,0.195547721,0.609807165,0.538642492,0.403811227,-0.281882352,0.03797892,-0.117368093,-0.070550104,-0.247799758,-0.098078761,4
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Season,PM2.5,PM10,O3,no2,so2,co,T,Po,U,Ff,VV,RRR,
1,0.641280749,0.550580135,0.533235206,0.184400507,0.152614751,0.267341917,0.38593266,-0.198428537,-0.238119879,0.130410146,-0.250007583,-0.105648304,
2,0.616134293,0.494632772,0.628313312,0.152185051,0.032103838,0.119104542,0.051168501,0.126008535,-0.492307882,0.176891096,-0.068164543,-0.130150796,
3,0.437197343,0.388923271,0.563447967,0.331563281,0.146130829,0.118504604,0.014715004,0.058261174,-0.158774988,-0.039616351,-0.213327803,-0.054762155,
4,0.62362539,0.623926181,0.195547721,0.609807165,0.538642492,0.403811227,-0.281882352,0.03797892,-0.117368093,-0.070550104,-0.247799758,-0.098078761,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Season,PM2.5,PM10,O3,no2,so2,co,T,Po,U,Ff,VV,RRR
,´º,0.64 ,0.55 ,0.53 ,0.18 ,0.15 ,0.27 ,0.39 ,-0.20 ,-0.24 ,0.13 ,-0.25 ,-0.11 
,ÏÄ,0.62 ,0.49 ,0.63 ,0.15 ,0.03 ,0.12 ,0.05 ,0.13 ,-0.49 ,0.18 ,-0.07 ,-0.13 
,Çï,0.44 ,0.39 ,0.56 ,0.33 ,0.15 ,0.12 ,0.01 ,0.06 ,-0.16 ,-0.04 ,-0.21 ,-0.05 
,¶¬,0.62 ,0.62 ,0.20 ,0.61 ,0.54 ,0.40 ,-0.28 ,0.04 ,-0.12 ,-0.07 ,-0.25 ,-0.10 
